Easting,Northing
704785.52,733080.00
704785.52,733080.00
704785.52,733080.00
709571.05,735720.00
709571.05,735720.00
709571.05,735720.00
709571.05,735720.00
709571.05,735720.00
709571.05,735720.00
709571.05,735720.00
709571.05,735720.00
709571.05,735720.00
709571.05,735720.00
709571.05,735720.00
712587.13,735720.00
712587.13,735720.00
712587.13,735720.00
712587.13,735720.00
712587.13,735720.00
712587.13,735720.00
712587.13,735720.00
712587.13,735720.00
712587.13,735720.00
712587.13,735720.00
712587.13,735720.00
712587.13,735720.00
712587.13,735720.00
700321.72,736240.00
700321.72,736240.00
700321.72,736240.00
700321.72,736240.00
700321.72,736240.00
700321.72,736240.00
700321.72,736240.00
700321.72,736240.00
700321.72,736240.00
700442.36,733000.00
700442.36,733000.00
700442.36,733000.00
700442.36,733000.00
700442.36,733000.00
700442.36,733000.00
700442.36,733000.00
700442.36,733000.00
700442.36,733000.00
700442.36,733000.00
700442.36,733000.00
700442.36,733000.00
708083.11,736280.00
708083.11,736280.00
708083.11,736280.00
708083.11,736280.00
708083.11,736280.00
708083.11,736280.00
708083.11,736280.00
708083.11,736280.00
708083.11,736280.00
708083.11,736280.00
708083.11,736280.00
708083.11,736280.00
708083.11,736280.00
708083.11,736280.00
708083.11,736280.00
708083.11,736280.00
708083.11,736280.00
711058.98,736280.00
711058.98,736280.00
711058.98,736280.00
711058.98,736280.00
711058.98,736280.00
711058.98,736280.00
711058.98,736280.00
711058.98,736280.00
711058.98,736280.00
711058.98,736280.00
711058.98,736280.00
711058.98,736280.00
711058.98,736280.00
711058.98,736280.00
711058.98,736280.00
714115.28,736280.00
714115.28,736280.00
714115.28,736280.00
714115.28,736280.00
714115.28,736280.00
714115.28,736280.00
714115.28,736280.00
714115.28,736280.00
714115.28,736280.00
714115.28,736280.00
714115.28,736280.00
714115.28,736280.00
714115.28,736280.00
714115.28,736280.00
714115.28,736280.00
714115.28,736280.00
714115.28,736280.00
714115.28,736280.00
714115.28,736280.00
714115.28,736280.00
714115.28,736280.00
714115.28,736280.00
714115.28,736280.00
700321.72,734080.00
700321.72,734080.00
700321.72,734080.00
700321.72,734080.00
700321.72,734080.00
700321.72,734080.00
700321.72,734080.00
700321.72,734080.00
700321.72,734080.00
700321.72,734080.00
700321.72,734080.00
700321.72,734080.00
700321.72,734080.00
703217.16,734080.00
703217.16,734080.00
703217.16,734080.00
703217.16,734080.00
703217.16,734080.00
703217.16,734080.00
703217.16,734080.00
703217.16,734080.00
703217.16,734080.00
703217.16,734080.00
703217.16,734080.00
703217.16,734080.00
703217.16,734080.00
