"np","dist","gamma","dir.hor","dir.ver","id"
1179667,1367.97752415751,0.00177608,90,0,"var1"
20,5509.03016972137,0.002835045,90,0,"var1"
65556,5509.0274469184,0.010096205,90,0,"var1"
131092,5509.02490563442,0.007442,90,0,"var1"
196628,5509.02254586967,0.006283205,90,0,"var1"
262164,5509.02036762438,0.007442,90,0,"var1"
327700,5509.01837089878,0.010527005,90,0,"var1"
393236,5509.01655569307,0.00293378,90,0,"var1"
458772,5509.01492200741,0.006441125,90,0,"var1"
524308,5509.01111007232,0.006463845,90,0,"var1"
589844,5509.01020246834,0.00761378,90,0,"var1"
655380,5509.00947638505,1.8605e-05,90,0,"var1"
720916,5509.01020246834,0.015051125,90,0,"var1"
786452,5509.01111007232,0.002738,90,0,"var1"
851988,5509.01346984197,0.003638045,90,0,"var1"
917524,5509.01655569307,0.013268205,90,0,"var1"
983060,5509.04650651093,0.0214245,90,0,"var1"
1048596,5509.11021952732,0.01905152,90,0,"var1"
1114132,5509.11639111939,0.0262205,90,0,"var1"
1179668,3860.86133014392,0.00430592,90,0,"var1"
1245204,2493.30606625024,0.01161288,90,0,"var1"
21,5509.03537140581,0.0085805,90,0,"var1"
65557,5509.03233094527,0.00206082,90,0,"var1"
131093,5509.02947200324,0.003553245,90,0,"var1"
196629,5509.02679457999,0.00443682,90,0,"var1"
262165,5509.02429867579,0.003553245,90,0,"var1"
327701,5509.02198429089,0.00187272,90,0,"var1"
393237,5509.01985142551,0.008411045,90,0,"var1"
458773,5509.01790007986,0.00430592,90,0,"var1"
524309,5509.01313516317,0.00428738,90,0,"var1"
589845,5509.01190989821,0.003436205,90,0,"var1"
655381,5509.01086615377,0.02004002,90,0,"var1"
720917,5509.00905094558,0.00053792,90,0,"var1"
786453,5509.00964088831,0.008751645,90,0,"var1"
851989,5509.01136533592,0.0073205,90,0,"var1"
917525,5509.0138158658,0.00094178,90,0,"var1"
983061,5509.04027244313,2.45000000000004e-07,90,0,"var1"
1048597,5509.09985600191,6.1605e-05,90,0,"var1"
1114133,5509.10570994969,0.000257645,90,0,"var1"
1179669,3860.85164155535,0.006441125,90,0,"var1"
1245205,2493.30282005621,0.001452605,90,0,"var1"
1310741,1.75,0.021279845,90,0,"var1"
22,5509.0394272414,0.00038088,90,0,"var1"
65558,5509.03615988317,0.000768319999999999,90,0,"var1"
131094,5509.03307404306,0.000182405,90,0,"var1"
196630,5509.03016972137,4.23199999999999e-05,90,0,"var1"
262166,5509.0274469184,0.000182405,90,0,"var1"
327702,5509.02490563442,0.00089042,90,0,"var1"
393238,5509.02254586967,0.000345845,90,0,"var1"
458774,5509.02036762438,5.618e-05,90,0,"var1"
524310,5509.01492200741,5.832e-05,90,0,"var1"
589846,5509.01346984197,0.000210125,90,0,"var1"
655382,5509.0121991969,0.00468512,90,0,"var1"
720918,5509.0085687808,0.00249218,90,0,"var1"
786454,5509.00893182252,0.000417605,90,0,"var1"
851990,5509.01020246834,0.000154880000000001,90,0,"var1"
917526,5509.0121991969,0.0018,90,0,"var1"
983062,5509.03615988317,0.005418405,90,0,"var1"
1048598,5509.09279381826,0.004259645,90,0,"var1"
1114134,5509.09842087617,0.007950605,90,0,"var1"
1179670,3860.84520676505,5.1005e-05,90,0,"var1"
1245206,2493.30125335873,0.001225125,90,0,"var1"
1310742,3,0.005294205,90,0,"var1"
1376278,1.25,0.00534578,90,0,"var1"
23,5509.04287611744,0.00223112,90,0,"var1"
65559,5509.0394272414,0,90,0,"var1"
131095,5509.03615988317,0.000202005,90,0,"var1"
196631,5509.03307404306,0.00045,90,0,"var1"
262167,5509.03016972137,0.000202005,90,0,"var1"
327703,5509.0274469184,4.50000000000001e-06,90,0,"var1"
393239,5509.02490563442,0.002145125,90,0,"var1"
458775,5509.02254586967,0.00040898,90,0,"var1"
524311,5509.01655569307,0.000403279999999999,90,0,"var1"
589847,5509.01492200741,0.000174845,90,0,"var1"
655383,5509.01346984197,0.009248,90,0,"var1"
720919,5509.00838725993,0.00049298,90,0,"var1"
786455,5509.0085687808,0.002318805,90,0,"var1"
851991,5509.00947638505,0.00161312,90,0,"var1"
917527,5509.01111007232,0.00021632,90,0,"var1"
983063,5509.03307404306,0.002106005,90,0,"var1"
1048599,5509.08734827288,0.001409805,90,0,"var1"
1114135,5509.09279381826,0.003775805,90,0,"var1"
1179671,3860.84035031244,0.001215245,90,0,"var1"
1245207,2493.30045120925,5.3045e-05,90,0,"var1"
1310743,4,0.010096205,90,0,"var1"
1376279,2.25,0.00206082,90,0,"var1"
1441815,1,0.000768319999999999,90,0,"var1"
24,5509.04650651093,0.000695645,90,0,"var1"
65560,5509.04287611744,0.005418405,90,0,"var1"
131096,5509.0394272414,0.003528,90,0,"var1"
196632,5509.03615988317,0.002745405,90,0,"var1"
262168,5509.03307404306,0.003528,90,0,"var1"
327704,5509.03016972137,0.005735205,90,0,"var1"
393240,5509.0274469184,0.000744979999999999,90,0,"var1"
458776,5509.02490563442,0.002850125,90,0,"var1"
